1; Global; 62; 0,37; 17%; 2805
2; Legendary Eagle; 53; 0,03; 23%; 1600
3; Master Guardian; 55; 0,04; 59%; 2845
4; Supreme; 25; 1,63; 97%; 1677
5; Supreme; 37; 1,53; 15%; 2006
6; Legendary Eagle; 36; 0,19; 53%; 546
7; Global; 25; 1,60; 44%; 1772
8; Silver; 22; 1,27; 77%; 2909
9; Gold nova; 33; 0,00; 53%; 140
10; Master Guardian; 17; 1,86; 54%; 1524
11; Global; 36; 1,14; 96%; 2174
12; Gold nova; 27; 0,64; 41%; 1882
13; Global; 60; 0,17; 95%; 341
14; Gold nova; 86; 1,86; 5%; 1013
15; Supreme; 61; 1,57; 99%; 2734
16; Legendary Eagle; 37; 0,71; 55%; 930
17; Global; 90; 1,46; 66%; 2094
18; Global; 76; 1,83; 36%; 2362
19; Global; 29; 0,05; 69%; 1299
20; Supreme; 72; 1,35; 66%; 2940
21; Legendary Eagle; 67; 0,97; 56%; 1839
22; Gold nova; 57; 1,21; 27%; 147
23; Gold nova; 85; 1,31; 54%; 2236
24; Silver; 60; 0,80; 37%; 1462
25; Global; 34; 1,55; 53%; 2712
26; Silver; 16; 1,34; 91%; 2617
27; Gold nova; 63; 1,60; 60%; 401
28; Global; 11; 1,18; 10%; 1011
29; Gold nova; 12; 0,84; 67%; 1977
30; Silver; 86; 1,18; 44%; 2715
31; Global; 42; 0,66; 91%; 649
32; Silver; 39; 0,67; 81%; 219
33; Silver; 30; 0,88; 16%; 820
34; Gold nova; 26; 1,84; 69%; 2536
35; Supreme; 27; 1,36; 15%; 872
36; Gold nova; 82; 0,39; 63%; 1888
37; Gold nova; 65; 0,87; 77%; 1089
38; Legendary Eagle; 43; 0,61; 64%; 998
39; Supreme; 54; 0,64; 47%; 1128
40; Master Guardian; 35; 0,16; 64%; 2283
41; Legendary Eagle; 73; 0,87; 87%; 195
42; Master Guardian; 86; 0,88; 75%; 2022
43; Legendary Eagle; 52; 1,29; 92%; 1368
44; Gold nova; 27; 1,79; 65%; 733
45; Global; 27; 1,37; 94%; 519
46; Global; 31; 0,64; 46%; 864
47; Global; 11; 0,33; 90%; 2959
48; Legendary Eagle; 23; 1,37; 69%; 1214
49; Silver; 77; 1,28; 55%; 632
50; Gold nova; 80; 1,50; 62%; 962
51; Legendary Eagle; 44; 1,57; 10%; 2263
52; Silver; 17; 0,22; 62%; 1024
53; Silver; 51; 1,53; 39%; 2895
54; Silver; 70; 0,53; 44%; 572
55; Legendary Eagle; 83; 0,16; 72%; 274
