1; Crusader; 29; 10; Mid; Rikki
2; Ancient; 22; 20; Support; Rikki
3; Ancient; 42; 9; Semi-support; Weaver
4; Guardian; 83; 14; Support; Axe
5; Herald; 54; 12; Semi-support; Wraith king
6; Herald; 56; 5; Mid; Techies
7; Legend; 15; 17; Support; Wraith king
8; Legend; 59; 4; Support; Rikki
9; Legend; 57; 22; Hardlane; Techies
10; Crusader; 73; 13; Hardlane; Rikki
11; Ancient; 17; 18; Carry; Pudge
12; Crusader; 53; 25; Hardlane; Monkey king
13; Guardian; 23; 14; Mid; Weaver
14; Guardian; 72; 5; Semi-support; Jakiro
15; Legend; 34; 7; Hardlane; Phantom lancer
16; Archon; 27; 3; Carry; Axe
17; Crusader; 64; 13; Support; Weaver
18; Herald; 30; 29; Support; Warlock
19; Legend; 31; 15; Semi-support; Axe
20; Ancient; 30; 5; Hardlane; Axe
21; Archon; 76; 22; Carry; Monkey king
22; Archon; 22; 11; Semi-support; Axe
23; Ancient; 73; 29; Hardlane; Pudge
24; Crusader; 69; 17; Support; Techies
25; Ancient; 88; 26; Hardlane; Phantom lancer
26; Legend; 12; 12; Semi-support; Arc warden
27; Ancient; 42; 7; Mid; Bristleback
28; Archon; 24; 30; Hardlane; Axe
29; Legend; 37; 4; Semi-support; Rikki
30; Herald; 28; 8; Hardlane; Crystall maiden
31; Archon; 36; 11; Hardlane; Wraith king
32; Ancient; 39; 25; Hardlane; Arc warden
33; Ancient; 75; 0; Hardlane; Witch doctor
34; Archon; 49; 10; Carry; Bristleback
35; Archon; 89; 15; Semi-support; Wraith king
36; Crusader; 55; 20; Carry; Warlock
37; Guardian; 17; 22; Support; Pudge
38; Legend; 74; 8; Hardlane; Arc warden
39; Guardian; 33; 21; Support; Jakiro
40; Herald; 43; 12; Hardlane; Crystall maiden
41; Ancient; 77; 19; Carry; Crystall maiden
42; Archon; 14; 17; Semi-support; Warlock
43; Herald; 46; 24; Hardlane; Crystall maiden
44; Ancient; 73; 16; Hardlane; Invoker
45; Ancient; 85; 2; Semi-support; Witch doctor
46; Crusader; 14; 21; Mid; Rikki
47; Legend; 27; 3; Carry; Axe
48; Guardian; 43; 5; Mid; Jakiro
49; Legend; 81; 25; Support; Jakiro
50; Ancient; 79; 19; Semi-support; Techies
51; Guardian; 30; 26; Mid; Axe
52; Archon; 36; 12; Carry; Jakiro
53; Ancient; 85; 1; Semi-support; Techies
54; Ancient; 75; 10; Mid; Warlock
55; Ancient; 72; 2; Carry; Axe
56; Crusader; 60; 16; Carry; Invoker
57; Archon; 11; 29; Semi-support; Warlock
58; Ancient; 51; 28; Hardlane; Invoker
59; Guardian; 49; 7; Support; Bristleback
60; Crusader; 63; 12; Support; Crystall maiden
61; Archon; 21; 4; Semi-support; Jakiro
62; Crusader; 37; 13; Support; Crystall maiden
63; Guardian; 85; 9; Support; Bristleback
64; Archon; 85; 29; Carry; Pudge
65; Guardian; 65; 29; Hardlane; Axe
66; Guardian; 44; 26; Support; Witch doctor
67; Crusader; 12; 26; Mid; Witch doctor
68; Archon; 58; 28; Support; Techies
69; Archon; 67; 14; Carry; Jakiro
70; Herald; 54; 17; Mid; Techies
71; Archon; 15; 17; Carry; Arc warden
72; Ancient; 68; 5; Hardlane; Techies
73; Guardian; 63; 2; Support; Jakiro
74; Archon; 37; 7; Carry; Techies
75; Herald; 45; 7; Hardlane; Arc warden
76; Ancient; 39; 15; Hardlane; Rikki
77; Ancient; 71; 7; Carry; Arc warden
78; Archon; 86; 29; Semi-support; Bristleback
79; Archon; 26; 27; Carry; Witch doctor
80; Archon; 82; 30; Mid; Invoker
81; Guardian; 51; 18; Carry; Invoker
82; Archon; 83; 30; Carry; Crystall maiden
83; Archon; 35; 5; Semi-support; Witch doctor
84; Ancient; 60; 0; Hardlane; Pudge
85; Archon; 50; 14; Support; Techies
86; Herald; 38; 5; Mid; Jakiro
87; Crusader; 78; 13; Support; Techies
88; Legend; 74; 27; Carry; Rikki
89; Herald; 80; 23; Semi-support; Bristleback
90; Guardian; 76; 9; Hardlane; Axe
91; Herald; 10; 5; Mid; Jakiro
92; Legend; 90; 15; Mid; Pudge
93; Ancient; 70; 17; Support; Jakiro
94; Herald; 31; 22; Mid; Bristleback
95; Crusader; 51; 27; Mid; Axe
96; Legend; 89; 0; Mid; Techies
97; Legend; 82; 20; Semi-support; Invoker
98; Ancient; 10; 29; Carry; Pudge
99; Legend; 44; 15; Semi-support; Wraith king
100; Guardian; 57; 2; Mid; Monkey king
101; Crusader; 35; 27; Carry; Invoker
102; Herald; 41; 26; Hardlane; Warlock
103; Ancient; 88; 17; Mid; Weaver
104; Guardian; 14; 3; Mid; Arc warden
105; Guardian; 59; 15; Mid; Monkey king
106; Archon; 32; 28; Hardlane; Invoker
