1; DNuKgO; Russia; Sochi; Not matter; Hello, i want to find friends to play games together
2; xnWPJw; Russia; St. Petersburg; Female; Hello, i want to find friends to play games together
3; ijzfsj; Russia; Krasnodar; Not matter; Hello, i want to find friends to play games together
4; oAzvdq; Russia; Ufa; Female; Hello, i want to find friends to play games together
5; GbHJoG; Russia; Sochi; Female; Hello, i want to find friends to play games together
6; JzGIFv; Russia; Kazan; Male; Hello, i want to find friends to play games together
7; sbvbLW; Russia; Kazan; Not matter; Hello, i want to find friends to play games together
8; aCAOYV; Russia; Omsk; Male; Hello, i want to find friends to play games together
9; iXojlr; Russia; Krasnodar; Male; Hello, i want to find friends to play games together
10; asFsWX; Russia; Ufa; Female; Hello, i want to find friends to play games together
11; SXOtOn; Russia; St. Petersburg; Female; Hello, i want to find friends to play games together
12; CUQfLc; Russia; Omsk; Male; Hello, i want to find friends to play games together
13; KUGBQi; Russia; Moscow; Female; Hello, i want to find friends to play games together
14; ZISFQA; Russia; Moscow; Male; Hello, i want to find friends to play games together
15; Kwtvli; Russia; Sochi; Not matter; Hello, i want to find friends to play games together
16; IIELtj; Russia; Kazan; Female; Hello, i want to find friends to play games together
17; gXYYbl; Russia; St. Petersburg; Not matter; Hello, i want to find friends to play games together
18; BbcyTo; Russia; Ekaterinburg; Not matter; Hello, i want to find friends to play games together
19; eHKkFh; Russia; Krasnodar; Female; Hello, i want to find friends to play games together
20; vOsVFo; Russia; Ufa; Female; Hello, i want to find friends to play games together
21; MxFnlv; Russia; Omsk; Female; Hello, i want to find friends to play games together
22; oGpInZ; Russia; Krasnodar; Male; Hello, i want to find friends to play games together
23; hcOfnT; Russia; Ufa; Female; Hello, i want to find friends to play games together
24; suVEeO; Russia; Krasnodar; Female; Hello, i want to find friends to play games together
25; Whdrgg; Russia; Ekaterinburg; Male; Hello, i want to find friends to play games together
26; Btftdg; Russia; Kazan; Not matter; Hello, i want to find friends to play games together
27; WnMZaT; Russia; Sochi; Female; Hello, i want to find friends to play games together
28; ZVhFYR; Russia; Sochi; Not matter; Hello, i want to find friends to play games together
29; cBUgnI; Russia; Krasnodar; Not matter; Hello, i want to find friends to play games together
30; UtqJzH; Russia; Ufa; Male; Hello, i want to find friends to play games together
31; dgvDmy; Russia; Moscow; Not matter; Hello, i want to find friends to play games together
32; xOGWae; Russia; Ufa; Not matter; Hello, i want to find friends to play games together
33; mwVVDX; Russia; Ufa; Not matter; Hello, i want to find friends to play games together
34; VdhMrE; Russia; Ekaterinburg; Not matter; Hello, i want to find friends to play games together
35; TeZnIA; Russia; Ekaterinburg; Not matter; Hello, i want to find friends to play games together
36; AYAOUK; Russia; Moscow; Female; Hello, i want to find friends to play games together
37; alBEoP; Russia; Krasnodar; Male; Hello, i want to find friends to play games together
38; vaUZrW; Russia; Moscow; Female; Hello, i want to find friends to play games together
39; WQhCyU; Russia; Omsk; Male; Hello, i want to find friends to play games together
40; yHNJBt; Russia; Ufa; Not matter; Hello, i want to find friends to play games together
41; VFFFYt; Russia; Ekaterinburg; Male; Hello, i want to find friends to play games together
42; aIYFHJ; Russia; Omsk; Male; Hello, i want to find friends to play games together
43; SaLemi; Russia; Sochi; Not matter; Hello, i want to find friends to play games together
44; bEyckr; Russia; Ufa; Not matter; Hello, i want to find friends to play games together
45; npuvRW; Russia; Ekaterinburg; Male; Hello, i want to find friends to play games together
46; JGMMXG; Russia; Kazan; Female; Hello, i want to find friends to play games together
47; ZyFHzs; Russia; Krasnodar; Female; Hello, i want to find friends to play games together
48; CigOqo; Russia; Sochi; Female; Hello, i want to find friends to play games together
49; Wpweaf; Russia; Ekaterinburg; Not matter; Hello, i want to find friends to play games together
50; PinWhD; Russia; Omsk; Male; Hello, i want to find friends to play games together
51; vcSzPo; Russia; Kazan; Female; Hello, i want to find friends to play games together
52; psbOwP; Russia; Kazan; Female; Hello, i want to find friends to play games together
53; demvkb; Russia; Ekaterinburg; Not matter; Hello, i want to find friends to play games together
54; SwDCFc; Russia; Ekaterinburg; Not matter; Hello, i want to find friends to play games together
55; KpftPY; Russia; Sochi; Not matter; Hello, i want to find friends to play games together
56; NwbrZQ; Russia; Ekaterinburg; Male; Hello, i want to find friends to play games together
57; TkyYUC; Russia; St. Petersburg; Female; Hello, i want to find friends to play games together
58; DdBKHb; Russia; Kazan; Female; Hello, i want to find friends to play games together
59; sQCRtv; Russia; Moscow; Male; Hello, i want to find friends to play games together
60; LgBlYn; Russia; Omsk; Female; Hello, i want to find friends to play games together
61; ZMQooZ; Russia; Omsk; Female; Hello, i want to find friends to play games together
62; OTiAkN; Russia; Moscow; Male; Hello, i want to find friends to play games together
63; aBLIAP; Russia; Ekaterinburg; Not matter; Hello, i want to find friends to play games together
64; fMzeHt; Russia; Kazan; Male; Hello, i want to find friends to play games together
65; iVUmIb; Russia; Sochi; Male; Hello, i want to find friends to play games together
66; RAEMSD; Russia; St. Petersburg; Not matter; Hello, i want to find friends to play games together
67; SDqekT; Russia; Sochi; Not matter; Hello, i want to find friends to play games together
68; qaYpqu; Russia; Sochi; Male; Hello, i want to find friends to play games together
69; Vmpbcs; Russia; Kazan; Male; Hello, i want to find friends to play games together
70; mrYQvQ; Russia; Kazan; Female; Hello, i want to find friends to play games together
71; UjYSgm; Russia; Krasnodar; Not matter; Hello, i want to find friends to play games together
72; LCtdie; Russia; Sochi; Not matter; Hello, i want to find friends to play games together
73; qisOJX; Russia; Moscow; Male; Hello, i want to find friends to play games together
74; sBpVUj; Russia; Kazan; Female; Hello, i want to find friends to play games together
75; wdpMdq; Russia; Sochi; Male; Hello, i want to find friends to play games together
76; REPLIr; Russia; Krasnodar; Female; Hello, i want to find friends to play games together
77; mLdPTw; Russia; Sochi; Not matter; Hello, i want to find friends to play games together
78; JSWgDl; Russia; Sochi; Male; Hello, i want to find friends to play games together
79; lxhitD; Russia; Omsk; Male; Hello, i want to find friends to play games together
80; rNTADP; Russia; Ekaterinburg; Female; Hello, i want to find friends to play games together
