1; Ascendant; 77; 1,57; 63%; 2036
2; Immortal; 37; 0,19; 42%; 801
3; Bronze; 71; 0,97; 90%; 2371
4; Radiant; 27; 0,85; 23%; 674
5; Ascendant; 43; 0,79; 53%; 1733
6; Radiant; 56; 1,59; 8%; 1188
7; Iron; 89; 1,68; 56%; 2537
8; Ascendant; 85; 0,51; 74%; 1631
9; Gold; 69; 0,65; 19%; 1678
10; Gold; 80; 0,40; 51%; 1946
11; Bronze; 88; 1,56; 15%; 1574
12; Gold; 81; 0,07; 29%; 1716
13; Iron; 21; 1,70; 22%; 696
14; Immortal; 36; 0,23; 98%; 456
15; Bronze; 35; 0,94; 50%; 462
16; Ascendant; 83; 0,48; 63%; 2052
17; Radiant; 80; 1,32; 66%; 2714
18; Gold; 80; 1,77; 58%; 316
19; Silver; 53; 1,30; 91%; 1738
20; Gold; 21; 0,01; 34%; 449
21; Radiant; 10; 1,43; 46%; 2564
22; Bronze; 62; 0,03; 76%; 2295
23; Iron; 43; 1,81; 65%; 2252
24; Iron; 41; 1,28; 41%; 478
25; Diamond; 87; 1,18; 43%; 1892
26; Platinum; 21; 0,24; 77%; 752
27; Radiant; 87; 0,61; 68%; 509
28; Gold; 11; 0,96; 23%; 519
29; Immortal; 82; 0,65; 96%; 2330
30; Silver; 76; 0,60; 26%; 2736
31; Immortal; 21; 1,75; 70%; 2138
32; Gold; 87; 0,63; 33%; 2599
33; Silver; 26; 0,54; 87%; 1230
34; Immortal; 71; 1,75; 81%; 346
35; Ascendant; 86; 1,91; 76%; 1341
36; Diamond; 47; 0,80; 63%; 1547
37; Immortal; 53; 0,66; 61%; 471
38; Platinum; 47; 0,91; 98%; 95
39; Ascendant; 56; 0,06; 90%; 1659
40; Ascendant; 47; 1,90; 47%; 2237
41; Iron; 57; 1,82; 22%; 1224
42; Ascendant; 28; 1,65; 76%; 2645
43; Iron; 69; 1,81; 11%; 2911
44; Radiant; 39; 1,45; 60%; 1064
45; Radiant; 48; 1,66; 8%; 782
46; Iron; 52; 0,37; 97%; 300
47; Diamond; 16; 0,08; 28%; 2854
48; Bronze; 56; 0,62; 80%; 2660
49; Gold; 43; 1,42; 99%; 1475
50; Iron; 63; 1,22; 34%; 2545
51; Ascendant; 18; 0,62; 83%; 1513
52; Platinum; 88; 1,52; 15%; 1650
53; Silver; 79; 0,09; 20%; 1572
54; Bronze; 35; 1,26; 60%; 2313
55; Diamond; 28; 0,99; 10%; 2033
56; Radiant; 48; 0,41; 24%; 2796
57; Immortal; 15; 1,19; 93%; 394
58; Iron; 63; 1,05; 17%; 1450
59; Silver; 45; 0,68; 61%; 664
60; Platinum; 27; 1,94; 72%; 790
61; Radiant; 44; 1,67; 30%; 2935
62; Radiant; 30; 1,06; 36%; 1214
63; Iron; 47; 1,39; 62%; 2848
64; Silver; 65; 1,52; 83%; 1883
65; Ascendant; 23; 1,16; 95%; 2323
66; Silver; 19; 0,94; 49%; 1256
67; Radiant; 69; 1,25; 78%; 1535
68; Bronze; 11; 0,72; 37%; 2587
69; Radiant; 40; 1,14; 74%; 1369
70; Platinum; 83; 0,96; 59%; 1052
71; Bronze; 64; 1,07; 54%; 1632
72; Radiant; 45; 0,52; 95%; 1489
73; Platinum; 23; 1,15; 86%; 468
74; Diamond; 45; 0,74; 81%; 1606
75; Silver; 87; 0,24; 12%; 738
76; Iron; 61; 0,78; 75%; 1916
77; Silver; 18; 1,40; 88%; 2079
78; Radiant; 28; 0,59; 65%; 1983
79; Silver; 21; 0,86; 83%; 846
80; Gold; 46; 0,70; 91%; 1111
81; Iron; 24; 1,37; 55%; 2664
82; Immortal; 49; 1,84; 36%; 41
83; Immortal; 84; 0,65; 66%; 2357
84; Radiant; 12; 0,04; 71%; 94
85; Platinum; 73; 0,86; 39%; 1145
86; Bronze; 21; 0,07; 63%; 804
87; Bronze; 90; 1,32; 92%; 2679
88; Gold; 31; 0,81; 8%; 1466
89; Iron; 30; 0,29; 33%; 1389
90; Diamond; 28; 1,36; 28%; 796
91; Bronze; 68; 0,70; 21%; 248
92; Platinum; 32; 1,45; 19%; 2690
93; Silver; 72; 0,23; 87%; 1661
94; Bronze; 51; 1,50; 75%; 617
95; Iron; 55; 0,95; 83%; 506
96; Platinum; 52; 1,25; 12%; 2129
97; Silver; 19; 1,44; 61%; 2995
98; Silver; 45; 1,77; 80%; 1349
99; Iron; 50; 1,54; 49%; 1936
100; Bronze; 80; 0,73; 10%; 2925
101; Platinum; 81; 1,11; 73%; 2505
102; Silver; 80; 0,87; 7%; 1435
103; Iron; 71; 1,68; 72%; 2632
104; Silver; 19; 0,46; 90%; 1047
105; Iron; 27; 0,77; 27%; 1737
106; Bronze; 78; 0,77; 54%; 1778
107; Ascendant; 58; 0,28; 42%; 558
108; Bronze; 39; 1,90; 56%; 1518
109; Diamond; 60; 1,63; 22%; 2078
110; Gold; 62; 0,11; 60%; 2650
111; Ascendant; 67; 1,77; 47%; 1112
112; Ascendant; 17; 0,38; 91%; 69
113; Immortal; 88; 0,04; 50%; 1464
114; Ascendant; 51; 0,90; 10%; 642
115; Diamond; 74; 1,71; 57%; 746
116; Diamond; 52; 1,99; 23%; 393
117; Platinum; 50; 1,07; 99%; 2216
118; Silver; 65; 0,54; 18%; 1065
119; Platinum; 29; 1,66; 45%; 883
120; Immortal; 32; 1,76; 6%; 1942
121; Ascendant; 13; 0,06; 40%; 490
122; Platinum; 87; 1,24; 32%; 491
123; Diamond; 82; 0,84; 48%; 67
124; Radiant; 45; 0,12; 67%; 966
125; Silver; 24; 0,94; 80%; 679
126; Radiant; 49; 0,10; 33%; 2824
127; Gold; 73; 0,76; 57%; 202
128; Platinum; 36; 1,54; 23%; 1947
129; Platinum; 60; 0,96; 31%; 1003
130; Bronze; 17; 1,91; 27%; 772
131; Radiant; 53; 0,49; 46%; 2792
132; Bronze; 45; 0,00; 61%; 139
133; Platinum; 32; 1,12; 24%; 253
134; Platinum; 86; 1,05; 64%; 2381
135; Ascendant; 67; 0,40; 72%; 2799
136; Platinum; 17; 1,20; 6%; 2404
137; Bronze; 40; 1,39; 30%; 901
138; Immortal; 63; 1,29; 22%; 609
139; Bronze; 71; 0,39; 82%; 1155
140; Immortal; 60; 1,84; 67%; 2422
141; Platinum; 36; 1,04; 10%; 635
142; Silver; 79; 1,23; 98%; 1784
143; Immortal; 75; 1,43; 76%; 1951
144; Radiant; 64; 0,76; 90%; 2469
145; Ascendant; 57; 1,99; 73%; 2929
146; Diamond; 63; 0,62; 88%; 1114
147; Ascendant; 63; 0,70; 83%; 1580
148; Immortal; 82; 0,74; 26%; 1932
149; Gold; 75; 1,78; 41%; 335
150; Ascendant; 35; 1,20; 50%; 138
